Relative LMP error,Methods,Congestion State,System Scale,Case
0.002463546,Method in [18],Non-congested,Small systems,case30
0.022795903,Method in [18],Non-congested,Small systems,case30
0.022327756,Method in [18],Non-congested,Small systems,case30
0.032412674,Method in [18],Non-congested,Small systems,case30
0.061790453,Method in [18],Non-congested,Small systems,case30
0.018320615,Method in [18],Non-congested,Small systems,case30
0.022232097,Method in [18],Non-congested,Small systems,case30
0.022980964,Method in [22],Non-congested,Small systems,case30
0.022874695,Method in [22],Non-congested,Small systems,case30
0.022711696,Method in [22],Non-congested,Small systems,case30
0.022693746,Method in [22],Non-congested,Small systems,case30
0.023255925,Method in [22],Non-congested,Small systems,case30
0.024336305,Method in [22],Non-congested,Small systems,case30
0.023241031,Method in [22],Non-congested,Small systems,case30
0.383580803,Method in [22],Non-congested,Small systems,case30
0.017824488,Method in [22],Non-congested,Small systems,case30
0.01445472,Method in [22],Non-congested,Small systems,case30
0.017824488,Method in [22],Non-congested,Small systems,case30
0.015617634,Method in [22],Non-congested,Small systems,case30
0.015617924,Method in [22],Non-congested,Small systems,case30
0.01426291,Method in [22],Non-congested,Small systems,case30
0.012524832,Method in [22],Non-congested,Small systems,case30
0.014982978,Method in [22],Non-congested,Small systems,case30
0.014376997,Method in [22],Non-congested,Small systems,case30
0.012224734,Method in [22],Non-congested,Small systems,case30
0.012160635,Method in [22],Non-congested,Small systems,case30
0.012705817,Method in [22],Non-congested,Small systems,case30
0.011810189,Method in [22],Non-congested,Small systems,case30
0.011322762,Method in [22],Non-congested,Small systems,case30
0.006689583,Method in [22],Non-congested,Small systems,case30
0.000814406,Method in [22],Non-congested,Small systems,case30
0.02425694,Method in [22],Non-congested,Small systems,case30
0.024523381,Method in [22],Non-congested,Small systems,case30
0.03328623,Method in [22],Non-congested,Small systems,case30
0.063089116,Method in [22],Non-congested,Small systems,case30
0.020602344,Method in [22],Non-congested,Small systems,case30
0.025292361,Method in [22],Non-congested,Small systems,case30
0.022230867,Proposed method,Non-congested,Small systems,case30
0.02295096,Proposed method,Non-congested,Small systems,case30
0.023702557,Proposed method,Non-congested,Small systems,case30
0.02401227,Proposed method,Non-congested,Small systems,case30
0.02417641,Proposed method,Non-congested,Small systems,case30
0.025937935,Proposed method,Non-congested,Small systems,case30
0.025005119,Proposed method,Non-congested,Small systems,case30
0.381727764,Proposed method,Non-congested,Small systems,case30
0.019581824,Proposed method,Non-congested,Small systems,case30
0.016293617,Proposed method,Non-congested,Small systems,case30
0.019581824,Proposed method,Non-congested,Small systems,case30
0.017015234,Proposed method,Non-congested,Small systems,case30
0.017015524,Proposed method,Non-congested,Small systems,case30
0.016374093,Proposed method,Non-congested,Small systems,case30
0.014492413,Proposed method,Non-congested,Small systems,case30
