LMP error($/MWh),Method,Bus Number,,,,,,,,,,,
0.019767968,Method in [22],10,,,,,,,,,,,
0.120262038,Method in [22],10,,,,,,,,,,,
0.064395252,Method in [22],10,,,,,,,,,,,
0.065040705,Method in [22],10,,,,,,,,,,,
0.014767592,Method in [22],10,,,,,,,,,,,
0.037940476,Method in [22],10,,,,,,,,,,,
0.063973305,Method in [22],10,,,,,,,,,,,
0.052545496,Method in [22],10,,,,,,,,,,,
0.03363887,Method in [22],10,,,,,,,,,,,
0.008889382,Method in [22],10,,,,,,,,,,,
0.04184431,Method in [22],10,,,,,,,,,,,
0.101882906,Method in [22],10,,,,,,,,,,,
0.075585596,Method in [22],11,,,,,,,,,,,
0.077709784,Method in [22],11,,,,,,,,,,,
0.073045886,Method in [22],11,,,,,,,,,,,
0.109554694,Method in [22],11,,,,,,,,,,,
0.087534155,Method in [22],11,,,,,,,,,,,
0.121787961,Method in [22],11,,,,,,,,,,,
-0.081902822,Method in [22],11,,,,,,,,,,,
-0.053658182,Method in [22],11,,,,,,,,,,,
0.084666077,Method in [22],11,,,,,,,,,,,
0.092489554,Method in [22],11,,,,,,,,,,,
0.127613902,Method in [22],11,,,,,,,,,,,
0.044572054,Method in [22],11,,,,,,,,,,,
-0.042917896,Method in [22],11,,,,,,,,,,,
0.086413398,Method in [22],11,,,,,,,,,,,
0.033000672,Method in [22],11,,,,,,,,,,,
0.032561371,Method in [22],11,,,,,,,,,,,
-0.01119342,Method in [22],11,,,,,,,,,,,
0.014890093,Method in [22],11,,,,,,,,,,,
0.022002955,Method in [22],11,,,,,,,,,,,
0.006385597,Method in [22],11,,,,,,,,,,,
0.012014905,Method in [22],11,,,,,,,,,,,
-0.004528579,Method in [22],11,,,,,,,,,,,
-0.005033475,Method in [22],11,,,,,,,,,,,
0.05847894,Method in [22],11,,,,,,,,,,,
0.059899952,Method in [22],12,,,,,,,,,,,
0.062279889,Method in [22],12,,,,,,,,,,,
0.043853727,Method in [22],12,,,,,,,,,,,
0.09186154,Method in [22],12,,,,,,,,,,,
0.070777979,Method in [22],12,,,,,,,,,,,
0.104399316,Method in [22],12,,,,,,,,,,,
-0.095680475,Method in [22],12,,,,,,,,,,,
-0.070897728,Method in [22],12,,,,,,,,,,,
0.07251343,Method in [22],12,,,,,,,,,,,
0.080558742,Method in [22],12,,,,,,,,,,,
0.034863869,Method in [22],12,,,,,,,,,,,
0.113749257,Method in [22],12,,,,,,,,,,,
-0.050908483,Method in [22],12,,,,,,,,,,,
0.027108454,Method in [22],12,,,,,,,,,,,
0.00750318,Method in [22],12,,,,,,,,,,,
0.005611543,Method in [22],12,,,,,,,,,,,
-0.035023948,Method in [22],12,,,,,,,,,,,
-0.007935631,Method in [22],12,,,,,,,,,,,
0.007649811,Method in [22],12,,,,,,,,,,,
0.003886968,Method in [22],12,,,,,,,,,,,
-0.010124284,Method in [22],12,,,,,,,,,,,
-0.023669082,Method in [22],12,,,,,,,,,,,
-0.000767518,Method in [22],12,,,,,,,,,,,
0.032745337,Method in [22],12,,,,,,,,,,,
0.015505728,Method in [22],13,,,,,,,,,,,
0.017100236,Method in [22],13,,,,,,,,,,,
0.021048065,Method in [22],13,,,,,,,,,,,
0.022671301,Method in [22],13,,,,,,,,,,,
0.00323602,Method in [22],13,,,,,,,,,,,
0.023349082,Method in [22],13,,,,,,,,,,,
-0.099225341,Method in [22],13,,,,,,,,,,,
-0.11863785,Method in [22],13,,,,,,,,,,,
0.019313418,Method in [22],13,,,,,,,,,,,
0.020422215,Method in [22],13,,,,,,,,,,,
0.019727324,Method in [22],13,,,,,,,,,,,
0.021626931,Method in [22],13,,,,,,,,,,,
0.027657394,Method in [22],13,,,,,,,,,,,
0.01907245,Method in [22],13,,,,,,,,,,,
0.0159183,Method in [22],13,,,,,,,,,,,
0.014399006,Method in [22],13,,,,,,,,,,,
-0.021078751,Method in [22],13,,,,,,,,,,,
0.011863379,Method in [22],13,,,,,,,,,,,
0.016209146,Method in [22],13,,,,,,,,,,,
0.016970277,Method in [22],13,,,,,,,,,,,
0.011158241,Method in [22],13,,,,,,,,,,,
0.008252949,Method in [22],13,,,,,,,,,,,
0.016463898,Method in [22],13,,,,,,,,,,,
0.018561882,Method in [22],13,,,,,,,,,,,
-0.003903755,Method in [22],14,,,,,,,,,,,
-0.004139185,Method in [22],14,,,,,,,,,,,
